1,10519
2,10807
3,10633
4,14056
5,7595
6,13284
7,11985
1,10077
2,8772
3,8383
4,8013
5,7753
6,12877
7,11753
1,15761
2,8485
3,10531
4,8332
5,8890
6,13275
7,12711
1,10021
2,10545
3,8349
4,8382
5,9316
6,11426
7,6079
1,15536
2,10656
3,8329
4,8318
5,9055
6,13264
7,6097
1,10816
2,8499
3,10213
4,9618
5,8972
6,10711
7,12799
1,11044
2,10840
3,10894
4,10045
5,9651
6,12008
7,13556
1,11346
2,11027
3,10278
4,8257
5,7628
6,11464
7,12377
1,11306
2,10701
3,8243
4,8016
5,9005
6,11726
7,6109
1,11071
2,8645
3,10593
4,10149
5,9731
6,12473
7,6067
1,10535
2,8820
3,10237
4,8190
5,8854
6,11855
7,11585
1,10473
2,11121
3,8357
4,9466
5,8265
6,10689
7,4815
1,10218
2,8699
3,10338
4,8306
5,13179
6,11498
7,6031
1,10556
2,11133
3,10437
4,8216
5,13701
6,11474
7,12593
1,10176
2,8702
3,8180
4,9747
5,13486
6,7886
7,6095
1,10365
2,10538
3,10429
4,9893
5,9588
6,6107
7,7906
1,10516
2,8565
3,8464
4,8241
5,8120
6,6066
7,12584
1,11102
2,8978
3,8660
4,8268
5,13371
6,12279
7,9825
1,10578
2,8609
3,14352
4,8033
5,7914
6,12336
7,12263
1,10430
2,8521
3,10760
4,8395
5,7945
6,10568
7,11311
1,10843
2,8854
3,8196
4,9751
5,9748
6,6002
7,4798
1,15826
2,10619
3,10355
4,9999
5,9066
6,6031
7,12785
1,10419
1,10807
2,8898
3,10196
4,8379
5,9202
6,13076
7,12107
1,11386
2,8588
3,10046
4,14639
5,8096
6,11174
7,12560
1,11183
2,8735
3,10688
4,10033
5,7608
6,13027
7,11272
1,10595
2,8635
3,10205
4,8351
5,9462
6,12095
7,12990
1,15367
2,8834
3,8392
4,10240
5,12860
6,11164
7,6114
1,10858
2,8429
3,10516
4,8316
5,7950
6,11649
7,13021
1,10319
2,8780
3,8442
4,9495
5,12917
6,6069
7,13616
1,10834
2,8593
3,14229
4,7365
5,7815
6,6063
7,12598
1,10826
2,8553
3,14471
4,9682
5,8044
6,12299
7,11992
1,15644
2,10578
3,10130
4,8227
5,8188
6,13521
7,14035
1,10094
2,10812
3,10032
4,8113
5,9253
6,10918
7,13069
1,16701
2,8587
3,10322
4,13075
5,7703
6,7914
7,11689
1,11341
2,11148
3,10429
4,14110
5,7961
6,12150
7,6097
1,10351
2,8739
3,10739
4,7906
5,13469
6,11227
7,10809
1,11366
2,8872
3,8410
4,7920
5,9979
6,12835
7,11246
1,10855
2,7768
3,14862
4,9709
5,9335
6,6288
7,6075
1,11070
2,10841
3,8371
4,8272
5,8195
6,12283
7,6054
1,10070
2,10762
3,10576
4,9952
5,8157
6,11776
7,6416
1,10652
2,8735
3,10022
4,8079
5,9797
6,6065
7,6079
1,15821
2,8675
3,8164
4,10061
5,13143
6,11785
7,12876
1,10576
2,8404
3,15084
4,8355
5,13504
6,6443
7,11283
1,10411
2,11247
3,13869
4,9965
5,13461
6,13460
7,12745
1,11332
2,8486
3,10103
4,8008
5,7772
6,12466
7,13296
1,10767
2,8723
3,10382
4,8483
5,8901
6,13332
7,7866
1,11395
2,8583
3,10329
